XNR_genes	GO_terms	SSHG_genes
XNR_2429	GO:0008080	SSHG_03493
XNR_0922	GO:0016491	SSHG_05008
XNR_1368	GO:0000155; GO:0005524; GO:0016021	SSHG_04560
XNR_4888	GO:0008080	SSHG_01055
XNR_5268	GO:0003992; GO:0005737; GO:0006526; GO:0030170	SSHG_00681
XNR_0904	GO:0004067; GO:0006528	SSHG_05026
XNR_1977	GO:0003677; GO:0006355	SSHG_03955
XNR_3643	GO:0005886; GO:0008137; GO:0016021; GO:0042773; GO:0048038	SSHG_02287
XNR_0647	GO:0003677	SSHG_05277
XNR_1757	GO:0004386; GO:0005524	SSHG_04172
XNR_3762	GO:0000287; GO:0005975; GO:0008966	SSHG_02173
XNR_0452	GO:0005886; GO:0016021; GO:0022857	SSHG_05472
XNR_4481	GO:0015137; GO:0016021	SSHG_01459
XNR_3136	GO:0005887; GO:0055085	SSHG_02806
XNR_5257	GO:0000105; GO:0004477; GO:0004488; GO:0006164; GO:0009086; GO:0035999	SSHG_00692
XNR_4227	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_01711
XNR_3582	GO:0016747	SSHG_02345
XNR_2125	GO:0008080	SSHG_03809
XNR_2796	GO:0016021	SSHG_03143
XNR_3193	GO:0005975; GO:0016853; GO:0030246	SSHG_02744
XNR_4777	GO:0016491	SSHG_01160
XNR_3873	GO:0016021	SSHG_02060
XNR_0368	GO:0016021	SSHG_05554
XNR_0362	GO:0051213	SSHG_05559
XNR_4870	GO:0000160; GO:0003723	SSHG_01072
XNR_1255	GO:0003861; GO:0009098; GO:0016853; GO:0046872; GO:0051539	SSHG_04666
XNR_1346	GO:0008745; GO:0009253	SSHG_04584
XNR_5527	GO:0004584; GO:0006506	SSHG_00420
XNR_5522	GO:0016746	SSHG_00425
XNR_5862	GO:0006541; GO:0009396	SSHG_00086
XNR_0342	GO:0003677; GO:0003887; GO:0006260; GO:0006355; GO:0008408; GO:0009360	SSHG_05580
XNR_3072	GO:0005887; GO:0055085	SSHG_02872
XNR_5254	GO:0003677	SSHG_00695
XNR_4865	GO:0004497	SSHG_01076
XNR_2650	GO:0003677; GO:0006355	SSHG_03285
XNR_2615	GO:0008168	SSHG_03320
XNR_2060	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0008360; GO:0009103; GO:0009245; GO:0009252; GO:0019134; GO:0071555	SSHG_03873
XNR_5643	GO:0003824	SSHG_00304
XNR_0657	GO:0009055; GO:0046872; GO:0051537	SSHG_05267
XNR_3244	GO:0005315; GO:0006817; GO:0016021	SSHG_02693
XNR_5042	GO:0008080	SSHG_00906
XNR_4910	GO:0016787	SSHG_01032
XNR_2265	GO:0097367; GO:1901135	SSHG_03657
XNR_2080	GO:0016021	SSHG_03853
XNR_1548	GO:0003677; GO:0003700	SSHG_04376
XNR_5859	GO:0043190; GO:0055085	SSHG_00089
XNR_1238	GO:0004595; GO:0005524; GO:0005737; GO:0015937	SSHG_04681
XNR_0214	GO:0005887; GO:0022857	SSHG_05704
XNR_5295	GO:0004851; GO:0009236; GO:0019354; GO:0043115; GO:0051266; GO:0051287	SSHG_00652
XNR_5886	GO:0010124; GO:0097266	SSHG_00062
XNR_2155	GO:0000166; GO:0010124; GO:0047475	SSHG_03780
XNR_3627	GO:0008080	SSHG_02303
XNR_2633	GO:0016021	SSHG_03302
XNR_3440	GO:0022857; GO:0043190	SSHG_02498
XNR_1485	GO:0004553; GO:0005975	SSHG_04438
XNR_3026	GO:0003677	SSHG_02918
XNR_0991	GO:0046677	SSHG_04938
XNR_5618	GO:0000155; GO:0005524; GO:0016021	SSHG_00329
XNR_1709	GO:0003677; GO:0003700	SSHG_04217
XNR_5129	GO:0016740	SSHG_00817
XNR_0809	GO:0016021	SSHG_05116
XNR_3225	GO:0009012; GO:0046677	SSHG_02711
XNR_1206	GO:0003676; GO:0004518	SSHG_04712
XNR_4606	GO:0006412; GO:0008168	SSHG_01331
XNR_4464	GO:0008168	SSHG_01473
XNR_0369	GO:0016787	SSHG_05553
XNR_5884	GO:0010124	SSHG_00064
XNR_2602	GO:0008168; GO:0008610	SSHG_03331
XNR_4769	GO:0005737; GO:0009228; GO:0009229; GO:0016783	SSHG_01168
XNR_3450	GO:0016787; GO:0020037	SSHG_02486
XNR_2952	GO:0003700	SSHG_02994
XNR_2227	GO:0016787	SSHG_03694
XNR_4049	GO:0043531	SSHG_01884
XNR_4098	GO:0016021	SSHG_01840
XNR_0689	GO:0016021	SSHG_05234
XNR_3092	GO:0016740	SSHG_02852
XNR_4664	GO:0003924; GO:0005525	SSHG_01274
XNR_4791	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0009252; GO:0047480; GO:0051301; GO:0071555	SSHG_01147
XNR_3770	GO:0016787	SSHG_02165
XNR_4009	GO:0004601; GO:0016787	SSHG_01925
XNR_0579	GO:0000287; GO:0008897	SSHG_05348
XNR_2381	GO:0003824	SSHG_03541
XNR_0596	GO:0008667; GO:0019290	SSHG_05329
XNR_1254	GO:0003861; GO:0009098; GO:0009316	SSHG_04667
XNR_5084	GO:0004497; GO:0016705	SSHG_00866
XNR_2263	GO:0016787	SSHG_03659
XNR_5160	GO:0016021; GO:0046873	SSHG_00787
XNR_3361	GO:0016853; GO:0046872	SSHG_02575
XNR_0831	GO:0005975; GO:0016832	SSHG_05096
XNR_2913	GO:0004177; GO:0030145	SSHG_03032
XNR_2147	GO:0003677	SSHG_03787
XNR_1042	GO:0004252	SSHG_04885
XNR_0125	GO:0008863; GO:0030151; GO:0043546; GO:0051539	SSHG_05794
XNR_4417	GO:0005524; GO:0016887	SSHG_01518
XNR_3898	GO:0003677; GO:0003700; GO:0003824; GO:0009058; GO:0030170	SSHG_02035
XNR_5703	GO:0003824; GO:0016021	SSHG_00248
XNR_0078	GO:0000160; GO:0003677; GO:0006355	SSHG_05840
XNR_1973	GO:0008422; GO:0030245; GO:0102483	SSHG_03959
XNR_0009	GO:0016740; GO:0019475	SSHG_00009
XNR_5930	GO:0016740; GO:0019475	SSHG_00009
XNR_5721	GO:0003824	SSHG_00229
XNR_1935	GO:0016829	SSHG_03996
XNR_0617	GO:0004129; GO:0005886; GO:0006119; GO:0009060; GO:0015990; GO:0016021; GO:0020037; GO:0046872; GO:0070469	SSHG_05308
XNR_3001	GO:0016021; GO:0032977	SSHG_02943
XNR_2203	GO:0046872; GO:0070006; GO:0070084	SSHG_03719
XNR_0733	GO:0004181; GO:0008270	SSHG_05190
XNR_2603	GO:0008168; GO:0008610	SSHG_03330
XNR_0496	GO:0016021	SSHG_05427
XNR_4536	GO:0016787	SSHG_01403
XNR_1408	GO:0005737; GO:0006085; GO:0008959	SSHG_04520
XNR_2377	GO:0016021	SSHG_03545
XNR_3191	GO:0004766; GO:0005886; GO:0008295; GO:0016021	SSHG_02746
XNR_2695	GO:0003677	SSHG_03240
XNR_3395	GO:0016787; GO:0016831	SSHG_02543
XNR_5127	GO:0003677	SSHG_00819
XNR_4886	GO:0004140; GO:0005524; GO:0005737; GO:0015937	SSHG_01057
XNR_5730	GO:0043365; GO:0051539	SSHG_00223
XNR_5197	GO:0003676; GO:0004386; GO:0005524	SSHG_00750
XNR_3675	GO:0000155; GO:0016021; GO:0046983	SSHG_02254
XNR_5469	GO:0004357; GO:0005524; GO:0042398	SSHG_00478
XNR_0457	GO:0004494; GO:0031419; GO:0046872	SSHG_05467
XNR_4793	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	SSHG_01145
XNR_1888	GO:0008080	SSHG_04041
XNR_0900	GO:0005886; GO:0016021; GO:0022857	SSHG_05030
XNR_1070	GO:0008237; GO:0008270	SSHG_04856
XNR_5131	GO:0003824	SSHG_00815
XNR_0428	GO:0008168	SSHG_05496
XNR_4564	GO:0008168	SSHG_01374
XNR_3669	GO:0005887	SSHG_02261
XNR_4669	GO:0009236; GO:0016993	SSHG_01269
XNR_4706	GO:0008939; GO:0009163; GO:0009236	SSHG_01232
XNR_0656	GO:0016491	SSHG_05268
XNR_3246	GO:0005315; GO:0005887; GO:0035435	SSHG_02691
XNR_0947	GO:0016021	SSHG_04982
XNR_3216	GO:0051213	SSHG_02722
XNR_1700	GO:0043190; GO:0055085	SSHG_04225
XNR_5117	GO:0003677	SSHG_00829
XNR_4306	GO:0004180	SSHG_01628
XNR_2743	GO:0003700	SSHG_03191
XNR_5012	GO:0016021	SSHG_00934
XNR_3853	GO:0003677; GO:0003678; GO:0005524; GO:0005737; GO:0006268	SSHG_02080
XNR_0041	GO:0016787	SSHG_05874
XNR_3186	GO:0016021	SSHG_02752
XNR_1891	GO:0005737; GO:0005840; GO:0006417; GO:0044238	SSHG_04038
XNR_5591	GO:0016021	SSHG_00356
XNR_5474	GO:0003676; GO:0005840	SSHG_00473
XNR_2492	GO:0016787	SSHG_03432
XNR_3795	GO:0005887; GO:0022857	SSHG_02140
XNR_1646	GO:0008168	SSHG_04278
XNR_5416	GO:0004553; GO:0005975; GO:0008061	SSHG_00538
XNR_4454	GO:0005737; GO:0006807; GO:0016151	SSHG_01481
XNR_1784	GO:0004124; GO:0006535	SSHG_04145
XNR_4159	GO:0004519	SSHG_01777
XNR_4717	GO:0005737; GO:0008987; GO:0009435; GO:0046872; GO:0051539	SSHG_01222
XNR_1384	GO:0004133; GO:0004553; GO:0005980	SSHG_04544
XNR_2735	GO:0003677; GO:0005737; GO:0006355; GO:0035731; GO:0046872; GO:0051539	SSHG_03198
XNR_5019	GO:0016491	SSHG_00927
XNR_5826	GO:0006468; GO:0016301; GO:0016773; GO:0019748	SSHG_00127
XNR_2941	GO:0008270; GO:0009228; GO:0009229; GO:0016830; GO:0051539	SSHG_03005
XNR_1971	GO:0003824; GO:0006596	SSHG_03961
XNR_0371	GO:0004747; GO:0005524; GO:0005737; GO:0019303; GO:0046872	SSHG_05551
XNR_5744	GO:0003824	SSHG_00210
XNR_3513	GO:0004830; GO:0005524; GO:0005737; GO:0006436	SSHG_02422
XNR_0469	GO:0003677	SSHG_05454
XNR_0871	GO:0008239	SSHG_05058
XNR_5309	GO:0008483; GO:0008696; GO:0030170; GO:0046656	SSHG_00644
XNR_5089	GO:0016021	SSHG_00859
XNR_3634	GO:0016491	SSHG_02296
XNR_4122	GO:0016021	SSHG_01816
XNR_2957	GO:0008703; GO:0009231	SSHG_02988
XNR_2561	GO:0005887; GO:0055085	SSHG_03369
XNR_2159	GO:0016853	SSHG_03776
XNR_1054	GO:0016787	SSHG_04874
XNR_2700	GO:0004798; GO:0005524; GO:0006233; GO:0006235; GO:0016021	SSHG_03236
XNR_1705	GO:0003824	SSHG_04220
XNR_3442	GO:0005887; GO:0055085	SSHG_02496
XNR_5270	GO:0000155; GO:0016021; GO:0046983	SSHG_00679
XNR_4145	GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	SSHG_01793
XNR_1699	GO:0005886; GO:0016021; GO:0055085	SSHG_04226
XNR_1187	GO:0008483; GO:0030170	SSHG_04732
XNR_5762	GO:0016787	SSHG_00191
XNR_3655	GO:0016021	SSHG_02276
XNR_0578	GO:0003995; GO:0050660	SSHG_05349
XNR_0127	GO:0005737; GO:0006777; GO:0016783; GO:0097163	SSHG_05792
XNR_4975	GO:0005315; GO:0006817; GO:0016021	SSHG_00970
XNR_1189	GO:0016021	SSHG_04730
XNR_1433	GO:0000155; GO:0005524; GO:0016021	SSHG_04494
XNR_4367	GO:0002161; GO:0004823; GO:0005524; GO:0005737; GO:0006429	SSHG_01570
XNR_0449	GO:0003700; GO:0043565	SSHG_05475
XNR_1813	GO:0016021	SSHG_04116
XNR_1178	GO:0016620	SSHG_04740
XNR_2653	GO:0008168	SSHG_03282
XNR_0207	GO:0008863; GO:0030151; GO:0043546; GO:0051539	SSHG_05710
XNR_1171	GO:0004553; GO:0005975; GO:0008061	SSHG_04747
XNR_4475	GO:0016021	SSHG_01465
XNR_2841	GO:0004641; GO:0005524; GO:0005737; GO:0006189	SSHG_03104
XNR_1641	GO:0005886; GO:0016021	SSHG_04283
XNR_1831	GO:0016021	SSHG_04099
XNR_2021	GO:0000716; GO:0003684; GO:0005524; GO:0005737; GO:0006355; GO:0016787	SSHG_03910
XNR_2130	GO:0005524; GO:0030272; GO:0046872	SSHG_03804
XNR_3585	GO:0009234; GO:0016836	SSHG_02342
XNR_3394	GO:0047443	SSHG_02544
XNR_3113	GO:0016021	SSHG_02830
XNR_1764	GO:0016021	SSHG_04164
XNR_0644	GO:0003824	SSHG_05280
XNR_1445	GO:0016021; GO:0055085	SSHG_04482
